"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","REG_SHO","Rule_3210","Country of Domicile","Company Name"
"MWNAF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MWANA AFRICA PLC ORD","N","N","","Mwana Africa Plc."
"MWOG","OTC Link","15/10/2014","OTCQB","N","Common Stock","","MIDWEST OIL AND GAS INC","N","N","USA","Midwest Oil and Gas, Inc."
"MWSNF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","MAWSON RESOURCES LTD","N","N","Canada","Mawson Resources Ltd."
"MWSWF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MAWSON WEST LTD ORD","N","N","Australia","Mawson West Ltd."
"MWTCF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","MANILA WATER CO INC ORD","N","N","Philippines","Manila Water Co., Inc."
"MWTCY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","MANILA WATER CO INC U/ADR","N","N","Philippines","Manila Water Co., Inc."
"MWWC","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","MARKETING WRLDWD CORP","N","N","USA","Marketing Worldwide Corp."
"MXAMD","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","MAXAM GOLD CORP NEW","N","N","USA","Maxam Gold Corp."
"MXCHF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","MEXICHEM SAB DE CV ORD","N","N","Mexico","Mexichem SAB de CV"
"MXCHY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","MEXICHEM SAB DE UNSP/ADR","N","N","Mexico","Mexichem SAB de CV"
"MXCYY","OTC Link","15/10/2014","OTCQX International Premier","N","American Depository Receipts","","METSO CORP S/ADR","N","N","Finland","Metso Corporation"
"MXDHF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MDXHEALTH SA","N","N","","MDXHealth SA"
"MXEIP","OTC Link","15/10/2014","OTC Pink Current","N","Preferred Stock","","MEXICO EQUITY&INCME FD PR","N","N","USA","Mexico Equity & Income Trust, Inc. (The)"
"MXERF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","EUROPEAN REAL ESTATE INV","N","N","","European Real Estate Investment Trust Ltd."
"MXGFF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MAXIM POWER CORP ORD","N","N","Canada","Maxim Power Corp."
"MXGIF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","MERREX GOLD INC ORD","N","N","Canada","Merrex Gold Inc."
"MXHGF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MAX HOLDING AG ORD","N","N","","Max Holding Ag"
"MXMG","OTC Link/BB","15/10/2014","OTC Pink Current","N","Common Stock","","MAXIMA GROUP INC","N","N","USA","Maxima Group, Inc."
"MXMI","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","MAX MEDIA GROUP INCORP","N","N","USA","Max Media Group, Inc."
"MXMSF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MAXIM RESOURCES LTD","N","N","Canada","Maxim Resources Ltd."
"MXOM","OTC Link","15/10/2014","OTC Pink Limited","N","Common Stock","","PAN AMERICAN GOLDFIELDS","N","N","Canada","Pan American Goldfields Ltd."
"MXOP","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","MAXRAY OPTICAL TECH CO","N","N","Canada","Maxray Optical Technology Co., Ltd."
"MXPTF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MAX PETROLEUM PLC ORD","N","N","","Max Petroleum plc"
"MXRHY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","MICHAEL HILL INT UNSP/ADR","N","N","Australia","Michael Hill International Ltd."
"MXRNF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MULTIPLEX EUROPEAN PPTY","N","N","","Multiplex European Property Fund, Sydney NSW"
"MXROF","OTC Link","15/10/2014","OTCQB","N","Ordinary Shares","","MAX RESOURCE CORP","N","N","Canada","MAX Resource Corp."
